,reference,token,lemma
629,4.8,τοῦ,
630,4.8,ἀδελφοῦ,ἀδελφός
631,4.8,αὐτοῦ,
632,4.8,ζῆλος,ζῆλος
633,4.8,ἐποίησεν,ποιέω
634,4.8,Ἰωσὴφ,
635,4.8,μέχρι,μέχρι
636,4.8,θανάτου,
637,4.9,διωχθῆναι,διώκω
638,4.9,καὶ,καί
639,4.9,μέχρι,μέχρι
640,4.9,δουλείας,
641,4.9,εἰσελθεῖν,εἰσέρχομαι
642,4.9,ζῆλος,ζῆλος
643,4.9,φυγεῖν,φεύγω
644,4.9,ἠνάγκασεν,ἀναγκάζω
645,4.9,Μωϋσῆν,
646,4.1,ἀπὸ,ἀπό
647,4.1,προσώπου,πρόσωπον
648,4.1,Φαραὼ,
649,4.1,βασιλέως,βασιλεύς
650,4.1,Αἰγύπτου,Αἴγυπτος
651,4.1,ἐν,
652,4.1,τῷ,
653,4.1,ἀκοῦσαι,
654,4.1,αὐτὸν,αὐτός
655,4.1,ἀπὸ,ἀπό
656,4.1,τοῦ,
657,4.1,ὁμοφύλου,ὁμόφυλος
658,4.1,Τίς,
659,4.1,σε,σύ
660,4.1,κατέστησεν,καθίστημι
661,4.1,κριτὴν,
662,4.1,ἢ,
663,4.1,δικαστὴν,δικαστής
664,4.1,ἐφ’,
665,4.1,ἡμῶν,
666,4.1,μὴ,μή
667,4.1,ἀνελεῖν,ἀναιρέω
668,4.1,με,ἐγώ
669,4.1,σὺ,σύ
670,4.1,θέλεις,ἐθέλω
671,4.1,ὃν,ὅς
672,4.1,τρόπον,τρόπος
673,4.1,ἀνεῖλες,ἀναιρέω
674,4.1,ἐχθὲς,ἐχθές
675,4.1,τὸν,ὁ
676,4.1,Αἰγύπτιον,Αἰγύπτιος
677,4.1,διὰ,διά
678,4.1,ζῆλος,ζῆλος
679,4.1,Ἀαρὼν,
680,4.1,καὶ,καί
681,4.1,Μαριὰμ,
682,4.1,ἔξω,
683,4.1,τῆς,ὁ
684,4.11,παρεμβολῆς,παρεμβολή
685,4.11,ηὐλίσθησαν,αὐλίζομαι
686,4.11,ζῆλος,ζῆλος
687,4.11,Δαθὰν,
688,4.11,καὶ,καί
689,4.11,Ἀβειρὼν,
690,4.11,ζῶντας,ζάω
691,4.11,κατήγαγεν,κατάγω
692,4.12,εἰς,εἰς
693,4.12,ᾅδου,ᾅδης
694,4.12,διὰ,διά
695,4.12,τὸ,ὁ
696,4.12,στασιάσαι,στασιάζω
697,4.12,αὐτοὺς,αὐτός
698,4.12,πρὸς,πρός
699,4.12,τὸν,ὁ
700,4.12,θεράποντα,θεράπων
701,4.12,τοῦ,
702,4.12,θεοῦ,
703,4.12,Μωϋσῆν,
704,4.12,διὰ,διά
705,4.12,ζῆλος,ζῆλος
706,4.12,Δαυεὶδ,
707,4.12,φθόνον,φθόνος
708,4.12,ἔσχεν,ἔχω
709,4.12,οὐ,οὐ
710,4.12,μόνον,μόνος
711,4.13,ὑπὸ,ὑπό
712,4.13,τῶν,ὁ
713,4.13,ἀλλοφύλων,ἀλλόφυλος
714,4.13,ἀλλὰ,ἀλλά
715,4.13,καὶ,καί
716,4.13,ὑπὸ,ὑπό
717,4.13,Σαοὺλ,
718,4.13,βασιλέως,βασιλεύς
719,4.13,Ἰσραὴλ,
720,4.13,ἐδιώχθη,διώκω
721,4.13,Ἀλλ’,
722,4.13,ἵνα,ἵνα
723,4.13,τῶν,ὁ
724,4.13,ἀρχαίων,ἀρχαῖος
725,4.13,ὑποδειγμάτων,ὑπόδειγμα
726,5.1,παυσώμεθα,παύω
727,5.1,ἔλθωμεν,ἔρχομαι
728,5.1,ἐπὶ,ἐπί
729,5.1,τοὺς,ὁ
730,5.1,ἔγγιστα,
731,5.1,γενομένους,γίγνομαι
732,5.1,ἀθλητάς,ἀθλητής
733,5.1,λάβωμεν,λαμβάνω
734,5.1,τῆς,ὁ
735,5.1,γενεᾶς,γενεά
736,5.1,ἡμῶν,
737,5.1,τὰ,
738,5.1,γενναῖα,γενναῖος
739,5.1,ὑποδείγματα,ὑπόδειγμα
740,5.1,διὰ,διά
741,5.1,ζῆλον,ζῆλος
742,5.1,καὶ,καί
743,5.1,φθόνον,φθόνος
744,5.1,οἱ,
745,5.1,μέγιστοι,μέγας
746,5.1,καὶ,καί
747,5.2,δικαιότατοι,δίκαιος
748,5.2,στύλοι,
749,5.2,ἐδιώχθησαν,διώκω
750,5.2,καὶ,καί
751,5.2,ἕως,
752,5.2,θανάτου,
753,5.2,ἤθλησαν,ἀθλέω
754,5.2,λάβωμεν,λαμβάνω
755,5.2,πρὸ,πρό
756,5.2,ὀφθαλμῶν,ὀφθαλμός
757,5.2,ἡμῶν,
758,5.2,τοὺς,ὁ
759,5.2,ἀγαθοὺς,ἀγαθός
760,5.3,ἀποστόλους,ἀπόστολος
761,5.3,Πέτρον,
762,5.3,ὃς,
763,5.3,διὰ,διά
764,5.3,ζῆλον,ζῆλος
765,5.3,ἄδικον,ἄδικος
766,5.3,οὐχ,οὐ
767,5.3,ἕνα,
768,5.3,οὐδὲ,
769,5.4,δύο,δύο
770,5.4,ἀλλὰ,ἀλλά
